date,crime_rate,state
1988-06-01,336.4,Alaska
1988-07-01,335.0,Alaska
1988-08-01,370.44,Alaska
1988-09-01,300.56,Alaska
1988-10-01,288.55,Alaska
1988-11-01,239.29,Alaska
1988-12-01,1085.9,Alaska
1989-01-01,228.05,Alaska
1989-02-01,243.97,Alaska
1989-03-01,272.63,Alaska
1989-04-01,291.53,Alaska
1989-05-01,322.37,Alaska
1989-06-01,331.73,Alaska
1989-07-01,361.38,Alaska
1989-08-01,366.55,Alaska
1989-09-01,305.46,Alaska
1989-10-01,263.27,Alaska
1989-11-01,217.11,Alaska
1989-12-01,1086.32,Alaska
1990-01-01,223.06,Alaska
1990-02-01,211.39,Alaska
1990-03-01,254.12,Alaska
1990-04-01,285.44,Alaska
1990-05-01,328.66,Alaska
1990-06-01,331.67,Alaska
1990-07-01,379.86,Alaska
1990-08-01,400.95,Alaska
1990-09-01,364.8,Alaska
1990-10-01,359.16,Alaska
1990-11-01,250.54,Alaska
1990-12-01,1224.67,Alaska
1991-01-01,279.73,Alaska
1991-02-01,288.58,Alaska
1991-03-01,457.78,Alaska
1991-04-01,304.82,Alaska
1991-05-01,383.79,Alaska
1991-06-01,623.29,Alaska
1991-07-01,558.71,Alaska
1991-08-01,559.08,Alaska
1991-09-01,481.03,Alaska
1991-10-01,421.17,Alaska
1991-11-01,358.88,Alaska
1991-12-01,360.73,Alaska
1992-01-01,250.68,Alaska
1992-02-01,214.39,Alaska
1992-03-01,610.06,Alaska
1992-04-01,285.03,Alaska
1992-05-01,325.61,Alaska
1992-06-01,683.84,Alaska
1992-07-01,365.03,Alaska
1992-08-01,370.51,Alaska
1992-09-01,642.84,Alaska
1992-10-01,291.91,Alaska
1992-11-01,278.01,Alaska
1992-12-01,744.4,Alaska
1993-01-01,202.78,Alaska
1993-02-01,185.69,Alaska
1993-03-01,226.51,Alaska
1993-04-01,215.91,Alaska
1993-05-01,249.27,Alaska
1993-06-01,269.76,Alaska
1993-07-01,280.01,Alaska
1993-08-01,279.84,Alaska
1993-09-01,248.4,Alaska
1993-10-01,227.38,Alaska
1993-11-01,211.05,Alaska
1993-12-01,2214.04,Alaska
1994-01-01,340.13,Alaska
1994-02-01,340.3,Alaska
1994-03-01,351.0,Alaska
1994-04-01,378.09,Alaska
1994-05-01,435.56,Alaska
1994-06-01,456.44,Alaska
1994-07-01,536.68,Alaska
1994-08-01,554.63,Alaska
1994-09-01,460.93,Alaska
1994-10-01,371.02,Alaska
1994-11-01,305.79,Alaska
1994-12-01,412.09,Alaska
1995-01-01,312.37,Alaska
1995-02-01,260.05,Alaska
1995-03-01,286.97,Alaska
1995-04-01,340.06,Alaska
1995-05-01,378.56,Alaska
1995-06-01,431.8,Alaska
1995-07-01,475.23,Alaska
1995-08-01,472.02,Alaska
1995-09-01,359.3,Alaska
1995-10-01,370.63,Alaska
1995-11-01,298.65,Alaska
1995-12-01,1058.33,Alaska
1996-01-01,343.3,Alaska
1996-02-01,321.97,Alaska
1996-03-01,391.93,Alaska
1996-04-01,362.51,Alaska
1996-05-01,431.95,Alaska
1996-06-01,442.93,Alaska
1996-07-01,426.83,Alaska
1996-08-01,419.51,Alaska
1996-09-01,455.2,Alaska
1996-10-01,317.92,Alaska
1996-11-01,301.82,Alaska
1996-12-01,376.31,Alaska
1997-01-01,320.91,Alaska
1997-02-01,314.16,Alaska
1997-03-01,312.66,Alaska
1997-04-01,341.53,Alaska
1997-05-01,383.9,Alaska
1997-06-01,409.39,Alaska
1997-07-01,453.25,Alaska
1997-08-01,462.58,Alaska
1997-09-01,405.13,Alaska
1997-10-01,325.2,Alaska
1997-11-01,288.08,Alaska
1997-12-01,341.96,Alaska
1998-01-01,298.51,Alaska
1998-02-01,279.3,Alaska
1998-03-01,330.6,Alaska
1998-04-01,367.18,Alaska
1998-05-01,384.61,Alaska
1998-06-01,372.49,Alaska
1998-07-01,380.11,Alaska
1998-08-01,387.86,Alaska
1998-09-01,337.4,Alaska
1998-10-01,264.57,Alaska
1998-11-01,245.83,Alaska
1998-12-01,290.05,Alaska
